rank,italian,article,plural,german,pos,example_it,example_de,also
283,vento,il,venti,Wind,noun,"Sul mare c'è sempre vento.","Am Meer weht immer Wind.",
284,cielo,il,cieli,Himmel,noun,"Il cielo è azzurro.","Der Himmel ist blau.",
285,testa,la,teste,Kopf,noun,"Mi fa male la testa.","Mir tut der Kopf weh.",
286,piede,il,piedi,Fuß,noun,"Andiamo a piedi in centro.","Wir gehen zu Fuß ins Zentrum.",
287,braccio,il,braccia,Arm,noun,"Si è fatto male al braccio.","Er hat sich am Arm verletzt.",
288,gamba,la,gambe,Bein,noun,"Dopo la corsa mi fanno male le gambe.","Nach dem Lauf tun mir die Beine weh.",
289,cuore,il,cuori,Herz,noun,"Il cuore batte forte.","Das Herz schlägt schnell.",
290,bocca,la,bocche,Mund,noun,"Apri la bocca, per favore.","Mach bitte den Mund auf.",
291,capelli,i,,Haare,noun,"Ha i capelli lunghi e neri.","Sie hat lange, schwarze Haare.",
292,viso,il,visi,Gesicht,noun,"Ha un viso simpatico.","Er hat ein sympathisches Gesicht.",
293,corpo,il,corpi,Körper,noun,"Lo sport fa bene al corpo.","Sport tut dem Körper gut.",
294,voce,la,voci,Stimme,noun,"Ha una bella voce.","Sie hat eine schöne Stimme.",
295,pane,il,pani,Brot,noun,"Compro il pane in panetteria.","Ich kaufe das Brot in der Bäckerei.",
296,vino,il,vini,Wein,noun,"Un bicchiere di vino rosso, grazie.","Ein Glas Rotwein, bitte.",
297,caffè,il,caffè,Kaffee,noun,"Prendiamo un caffè al bar.","Wir trinken einen Kaffee in der Bar.",
298,latte,il,,Milch,noun,"Bevo il latte a colazione.","Ich trinke morgens Milch.",
299,carne,la,carni,Fleisch,noun,"Non mangio carne.","Ich esse kein Fleisch.",
300,pesce,il,pesci,Fisch,noun,"Il pesce qui è freschissimo.","Der Fisch hier ist sehr frisch.",
301,frutta,la,,Obst,noun,"Mangio frutta ogni giorno.","Ich esse jeden Tag Obst.",
302,verdura,la,verdure,Gemüse,noun,"Al mercato c'è verdura fresca.","Auf dem Markt gibt es frisches Gemüse.",
303,pasta,la,paste,Nudeln,noun,"La pasta è quasi pronta.","Die Nudeln sind fast fertig.",
304,pizza,la,pizze,Pizza,noun,"Stasera ordiniamo una pizza.","Heute Abend bestellen wir eine Pizza.",
305,zucchero,lo,zuccheri,Zucker,noun,"Prendo il caffè senza zucchero.","Ich trinke den Kaffee ohne Zucker.",
306,sale,il,sali,Salz,noun,"Manca un po' di sale.","Es fehlt etwas Salz.",
307,cena,la,cene,Abendessen,noun,"La cena è alle otto.","Das Abendessen ist um acht.",
308,pranzo,il,pranzi,Mittagessen,noun,"Dopo pranzo bevo un caffè.","Nach dem Mittagessen trinke ich einen Kaffee.",
309,colazione,la,colazioni,Frühstück,noun,"Facciamo colazione alle sette.","Wir frühstücken um sieben.",
310,bicchiere,il,bicchieri,Glas (Trinkglas),noun,"Mi porti un altro bicchiere?","Bringst du mir noch ein Glas?",
311,conto,il,conti,Rechnung,noun,"Il conto, per favore.","Die Rechnung, bitte.",
312,prezzo,il,prezzi,Preis,noun,"Il prezzo mi sembra alto.","Der Preis scheint mir hoch.",
313,biglietto,il,biglietti,Fahrkarte,noun,"Ho comprato due biglietti.","Ich habe zwei Fahrkarten gekauft.",
314,valigia,la,valigie,Koffer,noun,"La valigia è troppo pesante.","Der Koffer ist zu schwer.",
315,viaggio,il,viaggi,Reise,noun,"Buon viaggio!","Gute Reise!",
316,vacanza,la,vacanze,Urlaub,noun,"In agosto andiamo in vacanza.","Im August fahren wir in den Urlaub.",
317,scarpa,la,scarpe,Schuh,noun,"Queste scarpe sono troppo strette.","Diese Schuhe sind zu eng.",
318,vestito,il,vestiti,Kleid,noun,"Ha comprato un vestito rosso.","Sie hat ein rotes Kleid gekauft.",
319,camicia,la,camicie,Hemd,noun,"La camicia bianca è nell'armadio.","Das weiße Hemd ist im Schrank.",
320,borsa,la,borse,Tasche,noun,"Ho lasciato la borsa in ufficio.","Ich habe die Tasche im Büro gelassen.",
321,medico,il,medici,Arzt,noun,"Domani vado dal medico.","Morgen gehe ich zum Arzt.",dottore
322,ospedale,lo,ospedali,Krankenhaus,noun,"L'ospedale è dietro la stazione.","Das Krankenhaus ist hinter dem Bahnhof.",
323,farmacia,la,farmacie,Apotheke,noun,"La farmacia è chiusa a pranzo.","Die Apotheke ist mittags geschlossen.",
324,insegnante,lo,insegnanti,Lehrer,noun,"L'insegnante spiega la lezione.","Der Lehrer erklärt die Lektion.",
325,studente,lo,studenti,Student,noun,"Sono studente all'università.","Ich bin Student an der Universität.",
326,lezione,la,lezioni,Unterrichtsstunde,noun,"La lezione comincia alle dieci.","Der Unterricht beginnt um zehn.",
327,esame,lo,esami,Prüfung,noun,"Ho superato l'esame.","Ich habe die Prüfung bestanden.",
328,corso,il,corsi,Kurs,noun,"Faccio un corso di italiano.","Ich mache einen Italienischkurs.",
329,università,la,università,Universität,noun,"L'università è in centro.","Die Universität ist im Zentrum.",
330,ditta,la,ditte,Firma,noun,"Lavoro in una ditta piccola.","Ich arbeite in einer kleinen Firma.",
331,capo,il,capi,Chef,noun,"Il capo è in riunione.","Der Chef ist in einer Besprechung.",
332,riunione,la,riunioni,Besprechung,noun,"La riunione dura un'ora.","Die Besprechung dauert eine Stunde.",
333,progetto,il,progetti,Projekt,noun,"Il progetto finisce a giugno.","Das Projekt endet im Juni.",
334,idea,la,idee,Idee,noun,"È un'idea molto buona.","Das ist eine sehr gute Idee.",
335,notizia,la,notizie,Nachricht,noun,"Ho una bella notizia per te.","Ich habe eine schöne Nachricht für dich.",
336,risposta,la,risposte,Antwort,noun,"Aspetto ancora la tua risposta.","Ich warte noch auf deine Antwort.",
337,lettera,la,lettere,Brief,noun,"Ho ricevuto una lettera dall'Italia.","Ich habe einen Brief aus Italien bekommen.",
338,uno,,,eins,numeral,"Ne prendo solo uno.","Ich nehme nur eins.",
339,due,,,zwei,numeral,"Vorrei due biglietti.","Ich hätte gern zwei Fahrkarten.",
340,tre,,,drei,numeral,"Restiamo tre giorni a Roma.","Wir bleiben drei Tage in Rom.",
341,quattro,,,vier,numeral,"Siamo in quattro a cena.","Wir sind zu viert beim Abendessen.",
342,cinque,,,fünf,numeral,"Il negozio chiude alle cinque.","Der Laden schließt um fünf.",
343,sei,,,sechs,numeral,"Mi alzo alle sei.","Ich stehe um sechs auf.",
344,sette,,,sieben,numeral,"Il treno parte alle sette.","Der Zug fährt um sieben ab.",
345,otto,,,acht,numeral,"Lavoro otto ore al giorno.","Ich arbeite acht Stunden am Tag.",
346,nove,,,neun,numeral,"La lezione comincia alle nove.","Der Unterricht beginnt um neun.",
347,dieci,,,zehn,numeral,"Torno fra dieci minuti.","Ich komme in zehn Minuten zurück.",
348,cento,,,hundert,numeral,"Il museo ha più di cento quadri.","Das Museum hat über hundert Bilder.",
349,mille,,,tausend,numeral,"La città ha mille anni di storia.","Die Stadt hat tausend Jahre Geschichte.",
350,mio,,,mein,pronoun,"Questo è il mio posto.","Das ist mein Platz.",
351,tuo,,,dein,pronoun,"Dov'è il tuo cappotto?","Wo ist dein Mantel?",
352,suo,,,sein; ihr,pronoun,"Il suo ufficio è al secondo piano.","Sein Büro ist im zweiten Stock.",
353,nostro,,,unser,pronoun,"La nostra casa è vicina al mare.","Unser Haus ist nah am Meer.",
354,vostro,,,euer,pronoun,"Il vostro treno parte dal binario tre.","Euer Zug fährt von Gleis drei ab.",
355,chi,,,wer,pronoun,"Chi ha chiamato?","Wer hat angerufen?",
356,che cosa,,,was,pronoun,"Che cosa vuoi mangiare?","Was möchtest du essen?",
357,niente,,,nichts,pronoun,"Non ho capito niente.","Ich habe nichts verstanden.",
358,nessuno,,,niemand,pronoun,"Non c'è nessuno in ufficio.","Es ist niemand im Büro.",
359,qualcosa,,,etwas,pronoun,"Vuoi bere qualcosa?","Möchtest du etwas trinken?",
360,qualcuno,,,jemand,pronoun,"Qualcuno ha lasciato la porta aperta.","Jemand hat die Tür offen gelassen.",
361,ognuno,,,jeder,pronoun,"Ognuno paga la sua parte.","Jeder zahlt seinen Teil.",
362,tutti,,,alle,pronoun,"Tutti sono già arrivati.","Alle sind schon angekommen.",
363,o,,,oder,conjunction,"Prendi il tè o il caffè?","Nimmst du Tee oder Kaffee?",oppure
364,però,,,jedoch,conjunction,"Vorrei venire, però sono stanco.","Ich würde gern kommen, ich bin jedoch müde.",
365,quindi,,,also,conjunction,"Piove, quindi restiamo qui.","Es regnet, also bleiben wir hier.",
366,mentre,,,während,conjunction,"Ascolto la radio mentre cucino.","Ich höre Radio, während ich koche.",
367,allora,,,dann; nun,adverb,"Allora, che cosa facciamo?","Nun, was machen wir?",
368,senza,,,ohne,preposition,"Prendo il caffè senza latte.","Ich trinke den Kaffee ohne Milch.",
369,sotto,,,unter,preposition,"Il gatto è sotto la sedia.","Die Katze ist unter dem Stuhl.",
370,sopra,,,über,preposition,"Il quadro è sopra il divano.","Das Bild hängt über dem Sofa.",
371,dentro,,,drinnen,adverb,"Fa freddo, restiamo dentro.","Es ist kalt, bleiben wir drinnen.",
372,fuori,,,draußen,adverb,"I bambini giocano fuori.","Die Kinder spielen draußen.",
373,davanti,,,vor (örtlich),preposition,"Ci vediamo davanti al cinema.","Wir treffen uns vor dem Kino.",
374,dietro,,,hinter,preposition,"Il parcheggio è dietro la casa.","Der Parkplatz ist hinter dem Haus.",
375,vicino,,,nah,adjective,"Il supermercato è molto vicino.","Der Supermarkt ist ganz nah.",
376,lontano,,,weit entfernt,adjective,"La spiaggia non è lontana.","Der Strand ist nicht weit.",
377,verso,,,gegen (zeitlich),preposition,"Arriviamo verso le otto.","Wir kommen gegen acht an.",
378,durante,,,während (Präposition),preposition,"Durante il viaggio ho letto molto.","Während der Reise habe ich viel gelesen.",
379,contro,,,gegen,preposition,"Giochiamo contro una squadra forte.","Wir spielen gegen eine starke Mannschaft.",
380,tra,,,zwischen,preposition,"Il paese è tra il lago e la montagna.","Das Dorf liegt zwischen dem See und dem Berg.",fra
381,alzarsi,,,aufstehen,verb,"Mi alzo sempre alle sette.","Ich stehe immer um sieben auf.",
382,svegliarsi,,,aufwachen,verb,"Mi sveglio prima della sveglia.","Ich wache vor dem Wecker auf.",
383,lavarsi,,,sich waschen,verb,"Mi lavo le mani prima di mangiare.","Ich wasche mir vor dem Essen die Hände.",
384,vestirsi,,,sich anziehen,verb,"Mi vesto in fretta.","Ich ziehe mich schnell an.",
385,chiamarsi,,,heißen,verb,"Come ti chiami?","Wie heißt du?",
386,sedersi,,,sich setzen,verb,"Sediamoci a quel tavolo.","Setzen wir uns an jenen Tisch.",
387,divertirsi,,,sich amüsieren,verb,"Ci siamo divertiti molto.","Wir haben uns sehr amüsiert.",
388,ricevere,,,bekommen,verb,"Ho ricevuto il tuo messaggio.","Ich habe deine Nachricht bekommen.",
389,spiegare,,,erklären,verb,"Mi spieghi questa parola?","Erklärst du mir dieses Wort?",
390,mostrare,,,zeigen,verb,"Ti mostro le foto del viaggio.","Ich zeige dir die Reisefotos.",
391,offrire,,,anbieten,verb,"Ti offro io il caffè.","Ich lade dich zum Kaffee ein.",
392,servire,,,dienen; nötig sein,verb,"Mi serve un'altra sedia.","Ich brauche noch einen Stuhl.",
393,seguire,,,folgen,verb,"Segui questa strada fino in fondo.","Folge dieser Straße bis zum Ende.",
394,cambiare,,,wechseln,verb,"Devo cambiare treno a Bologna.","Ich muss in Bologna umsteigen.",
395,decidere,,,entscheiden,verb,"Abbiamo deciso di partire.","Wir haben entschieden abzureisen.",
396,scegliere,,,wählen,verb,"Scegli tu il ristorante.","Such du das Restaurant aus.",
397,preferire,,,bevorzugen,verb,"Preferisco il treno all'aereo.","Ich bevorzuge den Zug gegenüber dem Flugzeug.",
398,sperare,,,hoffen,verb,"Spero di rivederti presto.","Ich hoffe, dich bald wiederzusehen.",
399,riuscire,,,schaffen,verb,"Non riesco ad aprire la bottiglia.","Ich schaffe es nicht, die Flasche zu öffnen.",
400,ripetere,,,wiederholen,verb,"Può ripetere, per favore?","Können Sie das bitte wiederholen?",
401,rosso,,,rot,adjective,"Preferisco il vino rosso.","Ich bevorzuge Rotwein.",
402,blu,,,blau,adjective,"Porta una giacca blu.","Er trägt eine blaue Jacke.",
403,verde,,,grün,adjective,"Il semaforo è verde.","Die Ampel ist grün.",
404,giallo,,,gelb,adjective,"Ha comprato dei fiori gialli.","Er hat gelbe Blumen gekauft.",
405,nero,,,schwarz,adjective,"Il gatto nero dorme in cortile.","Die schwarze Katze schläft im Hof.",
406,bianco,,,weiß,adjective,"Vorrei del vino bianco.","Ich hätte gern Weißwein.",
407,colore,il,colori,Farbe,noun,"Di che colore è la tua macchina?","Welche Farbe hat dein Auto?",
408,luce,la,luci,Licht,noun,"Spegni la luce, per favore.","Mach bitte das Licht aus.",
409,aria,la,arie,Luft,noun,"Qui l'aria è pulita.","Hier ist die Luft sauber.",
410,terra,la,terre,Erde,noun,"I bambini giocano per terra.","Die Kinder spielen auf dem Boden.",
411,fuoco,il,fuochi,Feuer,noun,"Il fuoco brucia nel camino.","Das Feuer brennt im Kamin.",
412,sogno,il,sogni,Traum,noun,"Ho fatto un sogno strano.","Ich hatte einen seltsamen Traum.",
413,paura,la,paure,Angst,noun,"Ho paura dei ragni.","Ich habe Angst vor Spinnen.",
414,fame,la,,Hunger,noun,"Ho fame, mangiamo qualcosa.","Ich habe Hunger, essen wir etwas.",
415,sete,la,,Durst,noun,"Ho sete, vorrei dell'acqua.","Ich habe Durst, ich hätte gern Wasser.",
416,fortuna,la,fortune,Glück,noun,"Che fortuna incontrarti qui!","Was für ein Glück, dich hier zu treffen!",
417,salute,la,,Gesundheit,noun,"La salute viene prima di tutto.","Die Gesundheit geht vor.",
418,dolore,il,dolori,Schmerz,noun,"Sento un dolore alla schiena.","Ich spüre einen Schmerz im Rücken.",
419,medicina,la,medicine,Medikament,noun,"Prendo questa medicina due volte al giorno.","Ich nehme dieses Medikament zweimal am Tag.",
420,ricordo,il,ricordi,Erinnerung,noun,"Ho un bel ricordo di quell'estate.","Ich habe eine schöne Erinnerung an jenen Sommer.",
421,rumore,il,rumori,Lärm,noun,"C'è troppo rumore in strada.","Auf der Straße ist zu viel Lärm.",
422,forza,la,forze,Kraft,noun,"Non ho più forza.","Ich habe keine Kraft mehr.",
423,libertà,la,libertà,Freiheit,noun,"La libertà è importante per tutti.","Freiheit ist für alle wichtig.",
424,verità,la,verità,Wahrheit,noun,"Dimmi la verità.","Sag mir die Wahrheit.",
425,ragione,la,ragioni,Recht,noun,"Hai ragione tu.","Du hast recht.",
426,motivo,il,motivi,Grund,noun,"Non c'è motivo di preoccuparsi.","Es gibt keinen Grund zur Sorge.",
427,differenza,la,differenze,Unterschied,noun,"Non vedo nessuna differenza.","Ich sehe keinen Unterschied.",
428,scelta,la,scelte,Wahl,noun,"È stata una scelta difficile.","Es war eine schwierige Wahl.",
429,situazione,la,situazioni,Situation,noun,"La situazione è cambiata.","Die Situation hat sich geändert.",
430,occasione,la,occasioni,Gelegenheit,noun,"È un'occasione da non perdere.","Das ist eine Gelegenheit, die man nicht verpassen darf.",
431,esperienza,la,esperienze,Erfahrung,noun,"È stata una bella esperienza.","Das war eine schöne Erfahrung.",
432,sport,lo,sport,Sport,noun,"Faccio sport tre volte alla settimana.","Ich mache dreimal die Woche Sport.",
433,squadra,la,squadre,Mannschaft,noun,"La squadra gioca in casa domenica.","Die Mannschaft spielt am Sonntag zu Hause.",
434,partita,la,partite,Spiel (Sport),noun,"Guardiamo la partita insieme.","Schauen wir das Spiel zusammen.",
435,gioco,il,giochi,Spiel,noun,"Questo gioco è per due persone.","Dieses Spiel ist für zwei Personen.",
436,palla,la,palle,Ball,noun,"La palla è finita in giardino.","Der Ball ist im Garten gelandet.",
437,bicicletta,la,biciclette,Fahrrad,noun,"Vado in ufficio in bicicletta.","Ich fahre mit dem Fahrrad ins Büro.",bici
438,autobus,lo,autobus,Bus,noun,"L'autobus passa ogni dieci minuti.","Der Bus fährt alle zehn Minuten.",
439,aereo,lo,aerei,Flugzeug,noun,"L'aereo parte alle sei.","Das Flugzeug startet um sechs.",
440,nave,la,navi,Schiff,noun,"La nave arriva in porto stasera.","Das Schiff läuft heute Abend in den Hafen ein.",
441,ponte,il,ponti,Brücke,noun,"Il ponte è chiuso per lavori.","Die Brücke ist wegen Bauarbeiten gesperrt.",
442,piano,il,piani,Stockwerk,noun,"Abito al quarto piano.","Ich wohne im vierten Stock.",
443,scala,la,scale,Treppe,noun,"Prendiamo le scale, non l'ascensore.","Nehmen wir die Treppe, nicht den Aufzug.",
444,ascensore,lo,ascensori,Aufzug,noun,"L'ascensore non funziona.","Der Aufzug funktioniert nicht.",
445,muro,il,muri,Mauer,noun,"Il gatto dorme sul muro.","Die Katze schläft auf der Mauer.",
446,angolo,lo,angoli,Ecke,noun,"Il bar è all'angolo della strada.","Die Bar ist an der Straßenecke.",
447,centro,il,centri,Zentrum,noun,"Il negozio è in centro.","Das Geschäft ist im Zentrum.",
448,campagna,la,campagne,Land (ländliche Gegend),noun,"D'estate stiamo in campagna.","Im Sommer sind wir auf dem Land.",
449,isola,la,isole,Insel,noun,"La Sicilia è un'isola grande.","Sizilien ist eine große Insel.",
450,spiaggia,la,spiagge,Strand,noun,"La spiaggia è a due passi.","Der Strand ist ganz nah.",
451,estate,la,estati,Sommer,noun,"L'estate scorsa siamo stati in Puglia.","Letzten Sommer waren wir in Apulien.",
452,inverno,lo,inverni,Winter,noun,"D'inverno fa freddo qui.","Im Winter ist es hier kalt.",
453,primavera,la,primavere,Frühling,noun,"In primavera fioriscono gli alberi.","Im Frühling blühen die Bäume.",
454,autunno,lo,autunni,Herbst,noun,"In autunno piove spesso.","Im Herbst regnet es oft.",
455,dolce,,,süß,adjective,"Questa torta è troppo dolce per me.","Dieser Kuchen ist mir zu süß.",
456,amaro,,,bitter,adjective,"Il caffè è un po' amaro.","Der Kaffee ist etwas bitter.",
457,ricco,,,reich,adjective,"È una famiglia ricca.","Es ist eine reiche Familie.",
458,povero,,,arm,adjective,"Da giovane era povero.","Als junger Mann war er arm.",
459,veloce,,,schnell,adjective,"Questo treno è molto veloce.","Dieser Zug ist sehr schnell.",
460,lento,,,langsam,adjective,"Il servizio qui è lento.","Der Service hier ist langsam.",
461,piano,,,leise,adverb,"Parla piano, dormono i bambini.","Sprich leise, die Kinder schlafen.",
462,pulito,,,sauber,adjective,"La camera è pulita.","Das Zimmer ist sauber.",
463,sporco,,,schmutzig,adjective,"Il bicchiere è sporco.","Das Glas ist schmutzig.",
464,comodo,,,bequem,adjective,"Questa poltrona è molto comoda.","Dieser Sessel ist sehr bequem.",
465,tranquillo,,,ruhig,adjective,"Cerco un posto tranquillo.","Ich suche einen ruhigen Ort.",
466,serio,,,ernst,adjective,"È un problema serio.","Es ist ein ernstes Problem.",
467,semplice,,,einfach,adjective,"La ricetta è semplice.","Das Rezept ist einfach.",
468,strano,,,seltsam,adjective,"Ho sentito un rumore strano.","Ich habe ein seltsames Geräusch gehört.",
469,normale,,,normal,adjective,"È del tutto normale.","Das ist völlig normal.",
470,speciale,,,besonders,adjective,"Oggi è un giorno speciale.","Heute ist ein besonderer Tag.",
471,diverso,,,verschieden,adjective,"Abbiamo gusti diversi.","Wir haben verschiedenen Geschmack.",
472,uguale,,,gleich,adjective,"Le due camere sono uguali.","Die beiden Zimmer sind gleich.",
473,prossimo,,,nächster,adjective,"Scendo alla prossima fermata.","Ich steige an der nächsten Haltestelle aus.",
474,scorso,,,vergangener,adjective,"L'anno scorso ho cambiato lavoro.","Letztes Jahr habe ich die Stelle gewechselt.",
475,pesante,,,schwer,adjective,"Questa borsa è pesante.","Diese Tasche ist schwer.",
476,guidare,,,Auto fahren,verb,"Non mi piace guidare di notte.","Ich fahre nicht gern nachts Auto.",
477,salire,,,einsteigen,verb,"Siamo saliti sul treno sbagliato.","Wir sind in den falschen Zug eingestiegen.",
478,scendere,,,aussteigen,verb,"Scendo alla prossima.","Ich steige an der nächsten aus.",
479,girare,,,abbiegen,verb,"Gira a destra dopo il ponte.","Bieg nach der Brücke rechts ab.",
480,fermarsi,,,anhalten,verb,"Il treno si ferma a ogni stazione.","Der Zug hält an jedem Bahnhof.",
481,tenere,,,halten,verb,"Tieni la porta, per favore.","Halt bitte die Tür.",
482,lasciare,,,lassen,verb,"Lascio la macchina a casa.","Ich lasse das Auto zu Hause.",
483,nascere,,,geboren werden,verb,"Sono nato a Vienna.","Ich bin in Wien geboren.",
484,morire,,,sterben,verb,"L'albero è morto l'inverno scorso.","Der Baum ist letzten Winter eingegangen.",
485,crescere,,,wachsen,verb,"I bambini crescono in fretta.","Die Kinder wachsen schnell.",
486,ridere,,,lachen,verb,"Abbiamo riso tutta la sera.","Wir haben den ganzen Abend gelacht.",
487,piangere,,,weinen,verb,"Il bambino piange perché ha sonno.","Das Kind weint, weil es müde ist.",
488,cantare,,,singen,verb,"Canta sempre sotto la doccia.","Er singt immer unter der Dusche.",
489,ballare,,,tanzen,verb,"Balliamo questa canzone?","Tanzen wir zu diesem Lied?",
490,nuotare,,,schwimmen,verb,"Nuoto ogni mattina in piscina.","Ich schwimme jeden Morgen im Schwimmbad.",
491,ringraziare,,,danken,verb,"Ti ringrazio dell'aiuto.","Ich danke dir für die Hilfe.",
492,prenotare,,,reservieren,verb,"Ho prenotato un tavolo per stasera.","Ich habe für heute Abend einen Tisch reserviert.",
493,grazie,,,danke,other,"Grazie mille per il regalo!","Vielen Dank für das Geschenk!",
494,prego,,,bitte (Antwort auf danke),other,"Grazie! - Prego.","Danke! - Bitte.",
495,per favore,,,bitte (um etwas bitten),other,"Un bicchiere d'acqua, per favore.","Ein Glas Wasser, bitte.",per piacere
496,scusa,,,Entschuldigung,other,"Scusa, non ti ho sentito.","Entschuldigung, ich habe dich nicht gehört.",
497,ciao,,,hallo; tschüss,other,"Ciao, come stai?","Hallo, wie geht es dir?",
498,buongiorno,,,guten Tag,other,"Buongiorno, vorrei un caffè.","Guten Tag, ich hätte gern einen Kaffee.",
499,buonasera,,,guten Abend,other,"Buonasera, abbiamo prenotato un tavolo.","Guten Abend, wir haben einen Tisch reserviert.",
500,arrivederci,,,auf Wiedersehen,other,"Arrivederci e a presto!","Auf Wiedersehen und bis bald!",
